run,t_hours,rounds
resnet-50_result_report,0.0,113.0
resnet-50_result_report,0.08333333333333333,90.0
resnet-50_result_report,0.16666666666666666,67.0
resnet-50_result_report,0.25,47.0
resnet-50_result_report,0.3333333333333333,36.0
resnet-50_result_report,0.4166666666666667,26.0
resnet-50_result_report,0.5,34.0
resnet-50_result_report,0.5833333333333334,44.0
resnet-50_result_report,0.6666666666666666,56.0
resnet-50_result_report,0.75,67.0
resnet-50_result_report,0.8333333333333334,78.0
resnet-50_result_report,0.9166666666666666,90.0
resnet-50_result_report,1.0,107.0
resnet-50_result_report,1.0833333333333333,136.0
resnet-50_result_report,1.1666666666666667,144.0
resnet-50_result_report,1.25,152.0
resnet-50_result_report,1.3333333333333333,153.0
resnet-50_result_report,1.4166666666666667,149.0
resnet-50_result_report,1.5,146.0
resnet-50_result_report,1.5833333333333333,156.0
resnet-50_result_report,1.6666666666666667,175.0
resnet-50_result_report,1.75,187.0
resnet-50_result_report,1.8333333333333333,184.0
resnet-50_result_report,1.9166666666666667,180.0
resnet-50_result_report,2.0,184.0
resnet-50_result_report,2.0833333333333335,187.0
resnet-50_result_report,2.1666666666666665,204.0
resnet-50_result_report,2.25,203.0
resnet-50_result_report,2.3333333333333335,206.0
resnet-50_result_report,2.4166666666666665,230.0
resnet-50_result_report,2.5,254.0
resnet-50_result_report,2.5833333333333335,244.0
resnet-50_result_report,2.6666666666666665,234.0
resnet-50_result_report,2.75,243.0
resnet-50_result_report,2.8333333333333335,257.0
resnet-50_result_report,2.9166666666666665,254.0
resnet-50_result_report,3.0,240.0
resnet-50_result_report,3.0833333333333335,232.0
resnet-50_result_report,3.1666666666666665,241.0
resnet-50_result_report,3.25,253.0
resnet-50_result_report,3.3333333333333335,247.0
resnet-50_result_report,3.4166666666666665,245.0
resnet-50_result_report,3.5,238.0
resnet-50_result_report,3.5833333333333335,230.0
resnet-50_result_report,3.6666666666666665,211.0
resnet-50_result_report,3.75,180.0
resnet-50_result_report,3.8333333333333335,159.0
resnet-50_result_report,3.9166666666666665,155.0
resnet-50_result_report,4.0,149.0
resnet-50_result_report,4.083333333333333,126.0
resnet-50_result_report,4.166666666666667,94.0
resnet-50_result_report,4.25,75.0
resnet-50_result_report,4.333333333333333,68.0
resnet-50_result_report,4.416666666666667,39.0
resnet-50_result_report,4.5,15.0
resnet-50_result_report,4.583333333333333,35.0
resnet-50_result_report,4.666666666666667,59.0
resnet-50_result_report,4.75,84.0
resnet-50_result_report,4.833333333333333,102.0
resnet-50_result_report,4.916666666666667,112.0
resnet-50_result_report,5.0,135.0
resnet-50_result_report,5.083333333333333,159.0
resnet-50_result_report,5.166666666666667,182.0
resnet-50_result_report,5.25,203.0
resnet-50_result_report,5.333333333333333,228.0
resnet-50_result_report,5.416666666666667,253.0
resnet-50_result_report,5.5,278.0
resnet-50_result_report,5.583333333333333,283.0
resnet-50_result_report,5.666666666666667,284.0
resnet-50_result_report,5.75,283.0
resnet-50_result_report,5.833333333333333,291.0
resnet-50_result_report,5.916666666666667,298.0
resnet-50_result_report,6.0,292.0
resnet-50_result_report,6.083333333333333,287.0
resnet-50_result_report,6.166666666666667,278.0
resnet-50_result_report,6.25,276.0
resnet-50_result_report,6.333333333333333,269.0
resnet-50_result_report,6.416666666666667,247.0
resnet-50_result_report,6.5,228.0
resnet-50_result_report,6.583333333333333,210.0
resnet-50_result_report,6.666666666666667,192.0
resnet-50_result_report,6.75,180.0
resnet-50_result_report,6.833333333333333,171.0
resnet-50_result_report,6.916666666666667,174.0
resnet-50_result_report,7.0,185.0
resnet-50_result_report,7.083333333333333,184.0
resnet-50_result_report,7.166666666666667,173.0
resnet-50_result_report,7.25,160.0
resnet-50_result_report,7.333333333333333,148.0
resnet-50_result_report,7.416666666666667,171.0
resnet-50_result_report,7.5,192.0
resnet-50_result_report,7.583333333333333,189.0
resnet-50_result_report,7.666666666666667,188.0
resnet-50_result_report,7.75,181.0
resnet-50_result_report,7.833333333333333,169.0
resnet-50_result_report,7.916666666666667,160.0
resnet-50_result_report,8.0,161.0
resnet-50_result_report,8.083333333333334,174.0
resnet-50_result_report,8.166666666666666,178.0
resnet-50_result_report,8.25,176.0
resnet-50_result_report,8.333333333333334,193.0
resnet-50_result_report,8.416666666666666,197.0
resnet-50_result_report,8.5,190.0
resnet-50_result_report,8.583333333333334,191.0
resnet-50_result_report,8.666666666666666,204.0
resnet-50_result_report,8.75,228.0
resnet-50_result_report,8.833333333333334,251.0
resnet-50_result_report,8.916666666666666,251.0
resnet-50_result_report,9.0,253.0
resnet-50_result_report,9.083333333333334,254.0
resnet-50_result_report,9.166666666666666,248.0
resnet-50_result_report,9.25,249.0
resnet-50_result_report,9.333333333333334,251.0
resnet-50_result_report,9.416666666666666,251.0
resnet-50_result_report,9.5,254.0
resnet-50_result_report,9.583333333333334,275.0
resnet-50_result_report,9.666666666666666,287.0
resnet-50_result_report,9.75,276.0
resnet-50_result_report,9.833333333333334,267.0
resnet-50_result_report,9.916666666666666,287.0
resnet-50_result_report,10.0,285.0
resnet-50_result_report,10.083333333333334,269.0
resnet-50_result_report,10.166666666666666,299.0
resnet-50_result_report,10.25,326.0
resnet-50_result_report,10.333333333333334,327.0
resnet-50_result_report,10.416666666666666,326.0
resnet-50_result_report,10.5,335.0
resnet-50_result_report,10.583333333333334,338.0
resnet-50_result_report,10.666666666666666,338.0
resnet-50_result_report,10.75,352.0
resnet-50_result_report,10.833333333333334,365.0
resnet-50_result_report,10.916666666666666,365.0
resnet-50_result_report,11.0,367.0
resnet-50_result_report,11.083333333333334,383.0
resnet-50_result_report,11.166666666666666,381.0
resnet-50_result_report,11.25,381.0
resnet-50_result_report,11.333333333333334,380.0
resnet-50_result_report,11.416666666666666,383.0
resnet-50_result_report,11.5,383.0
resnet-50_result_report,11.583333333333334,384.0
resnet-50_result_report,11.666666666666666,383.0
resnet-50_result_report,11.75,379.0
resnet-50_result_report,11.833333333333334,373.0
resnet-50_result_report,11.916666666666666,372.0
resnet-50_result_report,12.0,373.0
resnet-50_result_report,12.083333333333334,373.0
resnet-50_result_report,12.166666666666666,374.0
resnet-50_result_report,12.25,373.0
resnet-50_result_report,12.333333333333334,379.0
resnet-50_result_report,12.416666666666666,379.0
resnet-50_result_report,12.5,379.0
resnet-50_result_report,12.583333333333334,380.0
resnet-50_result_report,12.666666666666666,379.0
resnet-50_result_report,12.75,382.0
resnet-50_result_report,12.833333333333334,387.0
resnet-50_result_report,12.916666666666666,388.0
resnet-50_result_report,13.0,387.0
resnet-50_result_report,13.083333333333334,379.0
resnet-50_result_report,13.166666666666666,380.0
resnet-50_result_report,13.25,380.0
resnet-50_result_report,13.333333333333334,381.0
resnet-50_result_report,13.416666666666666,381.0
resnet-50_result_report,13.5,379.0
resnet-50_result_report,13.583333333333334,378.0
resnet-50_result_report,13.666666666666666,378.0
resnet-50_result_report,13.75,378.0
resnet-50_result_report,13.833333333333334,380.0
resnet-50_result_report,13.916666666666666,381.0
resnet-50_result_report,14.0,382.0
resnet-50_result_report,14.083333333333334,389.0
resnet-50_result_report,14.166666666666666,388.0
resnet-50_result_report,14.25,390.0
resnet-50_result_report,14.333333333333334,388.0
resnet-50_result_report,14.416666666666666,386.0
resnet-50_result_report,14.5,385.0
resnet-50_result_report,14.583333333333334,375.0
resnet-50_result_report,14.666666666666666,377.0
resnet-50_result_report,14.75,376.0
resnet-50_result_report,14.833333333333334,375.0
resnet-50_result_report,14.916666666666666,375.0
resnet-50_result_report,15.0,358.0
resnet-50_result_report,15.083333333333334,357.0
resnet-50_result_report,15.166666666666666,359.0
resnet-50_result_report,15.25,358.0
resnet-50_result_report,15.333333333333334,359.0
resnet-50_result_report,15.416666666666666,360.0
resnet-50_result_report,15.5,362.0
resnet-50_result_report,15.583333333333334,373.0
resnet-50_result_report,15.666666666666666,373.0
resnet-50_result_report,15.75,375.0
resnet-50_result_report,15.833333333333334,374.0
resnet-50_result_report,15.916666666666666,374.0
resnet-50_result_report,16.0,392.0
resnet-50_result_report,16.083333333333332,394.0
resnet-50_result_report,16.166666666666668,393.0
resnet-50_result_report,16.25,393.0
resnet-50_result_report,16.333333333333332,394.0
resnet-50_result_report,16.416666666666668,395.0
resnet-50_result_report,16.5,396.0
resnet-50_result_report,16.583333333333332,395.0
resnet-50_result_report,16.666666666666668,396.0
resnet-50_result_report,16.75,397.0
resnet-50_result_report,16.833333333333332,398.0
resnet-50_result_report,16.916666666666668,392.0
resnet-50_result_report,17.0,383.0
resnet-50_result_report,17.083333333333332,375.0
resnet-50_result_report,17.166666666666668,369.0
resnet-50_result_report,17.25,361.0
resnet-50_result_report,17.333333333333332,353.0
resnet-50_result_report,17.416666666666668,347.0
resnet-50_result_report,17.5,338.0
resnet-50_result_report,17.583333333333332,331.0
resnet-50_result_report,17.666666666666668,323.0
resnet-50_result_report,17.75,314.0
resnet-50_result_report,17.833333333333332,305.0
resnet-50_result_report,17.916666666666668,304.0
resnet-50_result_report,18.0,305.0
resnet-50_result_report,18.083333333333332,305.0
resnet-50_result_report,18.166666666666668,303.0
resnet-50_result_report,18.25,304.0
resnet-50_result_report,18.333333333333332,304.0
resnet-50_result_report,18.416666666666668,301.0
resnet-50_result_report,18.5,304.0
resnet-50_result_report,18.583333333333332,302.0
resnet-50_result_report,18.666666666666668,301.0
resnet-50_result_report,18.75,302.0
resnet-50_result_report,18.833333333333332,302.0
resnet-50_result_report,18.916666666666668,301.0
resnet-50_result_report,19.0,301.0
resnet-50_result_report,19.083333333333332,301.0
resnet-50_result_report,19.166666666666668,301.0
resnet-50_result_report,19.25,300.0
resnet-50_result_report,19.333333333333332,300.0
resnet-50_result_report,19.416666666666668,301.0
resnet-50_result_report,19.5,298.0
resnet-50_result_report,19.583333333333332,301.0
resnet-50_result_report,19.666666666666668,301.0
resnet-50_result_report,19.75,300.0
resnet-50_result_report,19.833333333333332,302.0
resnet-50_result_report,19.916666666666668,303.0
resnet-50_result_report,20.0,301.0
resnet-50_result_report,20.083333333333332,303.0
resnet-50_result_report,20.166666666666668,302.0
resnet-50_result_report,20.25,302.0
resnet-50_result_report,20.333333333333332,304.0
resnet-50_result_report,20.416666666666668,304.0
resnet-50_result_report,20.5,304.0
resnet-50_result_report,20.583333333333332,305.0
resnet-50_result_report,20.666666666666668,304.0
resnet-50_result_report,20.75,304.0
resnet-50_result_report,20.833333333333332,302.0
resnet-50_result_report,20.916666666666668,303.0
resnet-50_result_report,21.0,283.0
resnet-50_result_report,21.083333333333332,289.0
resnet-50_result_report,21.166666666666668,284.0
resnet-50_result_report,21.25,276.0
resnet-50_result_report,21.333333333333332,283.0
resnet-50_result_report,21.416666666666668,272.0
resnet-50_result_report,21.5,253.0
resnet-50_result_report,21.583333333333332,233.0
resnet-50_result_report,21.666666666666668,235.0
resnet-50_result_report,21.75,244.0
resnet-50_result_report,21.833333333333332,252.0
resnet-50_result_report,21.916666666666668,258.0
resnet-50_result_report,22.0,282.0
resnet-50_result_report,22.083333333333332,251.0
resnet-50_result_report,22.166666666666668,254.0
resnet-50_result_report,22.25,270.0
resnet-50_result_report,22.333333333333332,269.0
resnet-50_result_report,22.416666666666668,271.0
resnet-50_result_report,22.5,299.0
resnet-50_result_report,22.583333333333332,324.0
resnet-50_result_report,22.666666666666668,331.0
resnet-50_result_report,22.75,329.0
resnet-50_result_report,22.833333333333332,329.0
resnet-50_result_report,22.916666666666668,329.0
resnet-50_result_report,23.0,327.0
resnet-50_result_report,23.083333333333332,352.0
resnet-50_result_report,23.166666666666668,354.0
resnet-50_result_report,23.25,346.0
resnet-50_result_report,23.333333333333332,340.0
resnet-50_result_report,23.416666666666668,349.0
resnet-50_result_report,23.5,341.0
resnet-50_result_report,23.583333333333332,334.0
resnet-50_result_report,23.666666666666668,327.0
resnet-50_result_report,23.75,320.0
resnet-50_result_report,23.833333333333332,313.0
resnet-50_result_report,23.916666666666668,307.0
resnet-50_result_report,24.0,305.0
resnet-50_result_report,24.083333333333332,303.0
resnet-50_result_report,24.166666666666668,305.0
resnet-50_result_report,24.25,305.0
resnet-50_result_report,24.333333333333332,302.0
resnet-50_result_report,24.416666666666668,303.0
resnet-50_result_report,24.5,303.0
resnet-50_result_report,24.583333333333332,302.0
resnet-50_result_report,24.666666666666668,303.0
resnet-50_result_report,24.75,303.0
resnet-50_result_report,24.833333333333332,303.0
resnet-50_result_report,24.916666666666668,301.0
resnet-50_result_report,25.0,303.0
resnet-50_result_report,25.083333333333332,303.0
resnet-50_result_report,25.166666666666668,302.0
resnet-50_result_report,25.25,303.0
resnet-50_result_report,25.333333333333332,304.0
resnet-50_result_report,25.416666666666668,303.0
resnet-50_result_report,25.5,305.0
resnet-50_result_report,25.583333333333332,306.0
resnet-50_result_report,25.666666666666668,303.0
resnet-50_result_report,25.75,297.0
resnet-50_result_report,25.833333333333332,302.0
resnet-50_result_report,25.916666666666668,301.0
resnet-50_result_report,26.0,301.0
resnet-50_result_report,26.083333333333332,301.0
resnet-50_result_report,26.166666666666668,301.0
resnet-50_result_report,26.25,299.0
resnet-50_result_report,26.333333333333332,301.0
resnet-50_result_report,26.416666666666668,300.0
resnet-50_result_report,26.5,298.0
resnet-50_result_report,26.583333333333332,299.0
resnet-50_result_report,26.666666666666668,300.0
resnet-50_result_report,26.75,306.0
resnet-50_result_report,26.833333333333332,302.0
resnet-50_result_report,26.916666666666668,303.0
resnet-50_result_report,27.0,302.0
resnet-50_result_report,27.083333333333332,304.0
resnet-50_result_report,27.166666666666668,304.0
resnet-50_result_report,27.25,305.0
resnet-50_result_report,27.333333333333332,304.0
resnet-50_result_report,27.416666666666668,305.0
resnet-50_result_report,27.5,305.0
resnet-50_result_report,27.583333333333332,304.0
resnet-50_result_report,27.666666666666668,306.0
resnet-50_result_report,27.75,305.0
resnet-50_result_report,27.833333333333332,304.0
resnet-50_result_report,27.916666666666668,303.0
resnet-50_result_report,28.0,306.0
resnet-50_result_report,28.083333333333332,304.0
resnet-50_result_report,28.166666666666668,305.0
resnet-50_result_report,28.25,306.0
resnet-50_result_report,28.333333333333332,305.0
resnet-50_result_report,28.416666666666668,306.0
resnet-50_result_report,28.5,305.0
resnet-50_result_report,28.583333333333332,304.0
resnet-50_result_report,28.666666666666668,303.0
resnet-50_result_report,28.75,306.0
resnet-50_result_report,28.833333333333332,304.0
resnet-50_result_report,28.916666666666668,306.0
resnet-50_result_report,29.0,303.0
resnet-50_result_report,29.083333333333332,303.0
resnet-50_result_report,29.166666666666668,302.0
resnet-50_result_report,29.25,303.0
resnet-50_result_report,29.333333333333332,302.0
resnet-50_result_report,29.416666666666668,300.0
resnet-50_result_report,29.5,303.0
resnet-50_result_report,29.583333333333332,303.0
resnet-50_result_report,29.666666666666668,302.0
resnet-50_result_report,29.75,301.0
resnet-50_result_report,29.833333333333332,303.0
resnet-50_result_report,29.916666666666668,302.0
resnet-50_result_report,30.0,302.0
resnet-50_result_report,30.083333333333332,301.0
resnet-50_result_report,30.166666666666668,301.0
resnet-50_result_report,30.25,298.0
resnet-50_result_report,30.333333333333332,301.0
resnet-50_result_report,30.416666666666668,301.0
resnet-50_result_report,30.5,299.0
resnet-50_result_report,30.583333333333332,302.0
resnet-50_result_report,30.666666666666668,303.0
resnet-50_result_report,30.75,299.0
resnet-50_result_report,30.833333333333332,303.0
resnet-50_result_report,30.916666666666668,304.0
resnet-50_result_report,31.0,303.0
resnet-50_result_report,31.083333333333332,306.0
resnet-50_result_report,31.166666666666668,306.0
resnet-50_result_report,31.25,306.0
resnet-50_result_report,31.333333333333332,305.0
resnet-50_result_report,31.416666666666668,307.0
resnet-50_result_report,31.5,306.0
resnet-50_result_report,31.583333333333332,304.0
resnet-50_result_report,31.666666666666668,305.0
resnet-50_result_report,31.75,307.0
resnet-50_result_report,31.833333333333332,303.0
resnet-50_result_report,31.916666666666668,304.0
resnet-50_result_report,32.0,304.0
resnet-50_result_report,32.083333333333336,302.0
resnet-50_result_report,32.166666666666664,303.0
resnet-50_result_report,32.25,305.0
resnet-50_result_report,32.333333333333336,303.0
resnet-50_result_report,32.416666666666664,304.0
resnet-50_result_report,32.5,305.0
resnet-50_result_report,32.583333333333336,304.0
resnet-50_result_report,32.666666666666664,303.0
resnet-50_result_report,32.75,304.0
resnet-50_result_report,32.833333333333336,304.0
resnet-50_result_report,32.916666666666664,302.0
resnet-50_result_report,33.0,304.0
resnet-50_result_report,33.083333333333336,304.0
resnet-50_result_report,33.166666666666664,303.0
resnet-50_result_report,33.25,304.0
resnet-50_result_report,33.333333333333336,311.0
resnet-50_result_report,33.416666666666664,317.0
resnet-50_result_report,33.5,324.0
resnet-50_result_report,33.583333333333336,333.0
resnet-50_result_report,33.666666666666664,340.0
resnet-50_result_report,33.75,348.0
resnet-50_result_report,33.833333333333336,356.0
resnet-50_result_report,33.916666666666664,364.0
resnet-50_result_report,34.0,372.0
resnet-50_result_report,34.083333333333336,379.0
resnet-50_result_report,34.166666666666664,388.0
resnet-50_result_report,34.25,395.0
resnet-50_result_report,34.333333333333336,397.0
resnet-50_result_report,34.416666666666664,398.0
resnet-50_result_report,34.5,398.0
resnet-50_result_report,34.583333333333336,398.0
resnet-50_result_report,34.666666666666664,399.0
resnet-50_result_report,34.75,400.0
resnet-50_result_report,34.833333333333336,401.0
resnet-50_result_report,34.916666666666664,401.0
resnet-50_result_report,35.0,400.0
resnet-50_result_report,35.083333333333336,400.0
resnet-50_result_report,35.166666666666664,399.0
resnet-50_result_report,35.25,399.0
resnet-50_result_report,35.333333333333336,399.0
resnet-50_result_report,35.416666666666664,398.0
resnet-50_result_report,35.5,398.0
resnet-50_result_report,35.583333333333336,398.0
resnet-50_result_report,35.666666666666664,398.0
resnet-50_result_report,35.75,397.0
resnet-50_result_report,35.833333333333336,397.0
resnet-50_result_report,35.916666666666664,396.0
resnet-50_result_report,36.0,396.0
resnet-50_result_report,36.083333333333336,398.0
resnet-50_result_report,36.166666666666664,398.0
resnet-50_result_report,36.25,397.0
resnet-50_result_report,36.333333333333336,398.0
resnet-50_result_report,36.416666666666664,397.0
resnet-50_result_report,36.5,399.0
resnet-50_result_report,36.583333333333336,398.0
resnet-50_result_report,36.666666666666664,398.0
resnet-50_result_report,36.75,399.0
resnet-50_result_report,36.833333333333336,398.0
resnet-50_result_report,36.916666666666664,400.0
resnet-50_result_report,37.0,400.0
resnet-50_result_report,37.083333333333336,400.0
resnet-50_result_report,37.166666666666664,397.0
resnet-50_result_report,37.25,398.0
resnet-50_result_report,37.333333333333336,397.0
resnet-50_result_report,37.416666666666664,398.0
resnet-50_result_report,37.5,397.0
resnet-50_result_report,37.583333333333336,399.0
resnet-50_result_report,37.666666666666664,398.0
resnet-50_result_report,37.75,397.0
resnet-50_result_report,37.833333333333336,397.0
resnet-50_result_report,37.916666666666664,397.0
resnet-50_result_report,38.0,394.0
resnet-50_result_report,38.083333333333336,392.0
resnet-50_result_report,38.166666666666664,396.0
resnet-50_result_report,38.25,395.0
resnet-50_result_report,38.333333333333336,395.0
resnet-50_result_report,38.416666666666664,396.0
resnet-50_result_report,38.5,395.0
resnet-50_result_report,38.583333333333336,388.0
resnet-50_result_report,38.666666666666664,384.0
resnet-50_result_report,38.75,379.0
resnet-50_result_report,38.833333333333336,354.0
resnet-50_result_report,38.916666666666664,346.0
resnet-50_result_report,39.0,348.0
resnet-50_result_report,39.083333333333336,338.0
resnet-50_result_report,39.166666666666664,330.0
resnet-50_result_report,39.25,331.0
resnet-50_result_report,39.333333333333336,320.0
resnet-50_result_report,39.416666666666664,311.0
resnet-50_result_report,39.5,312.0
resnet-50_result_report,39.583333333333336,318.0
resnet-50_result_report,39.666666666666664,319.0
