"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-06 20:57:00,,1.43,1.33,1.33,,1.39
2026-01-06 20:58:00,,1.35,1.31,1.33,,1.22
2026-01-06 20:59:00,,0.651,0.719,1.33,0.595,0.623
2026-01-06 21:00:00,,0.651,0.719,1.33,0.595,0.623
2026-01-06 21:01:00,,0.584,0.821,1.33,0.648,0.604
2026-01-06 21:02:00,,0.559,0.554,1.33,0.613,0.634
2026-01-06 21:03:00,,0.435,0.692,1.33,0.495,0.490
2026-01-06 21:04:00,,0.474,0.345,1.33,0.431,0.610
2026-01-06 21:05:00,,0.313,0.609,1.33,0.371,0.265
2026-01-06 21:06:00,,0.376,0.267,1.33,0.372,0.195
2026-01-06 21:07:00,,0.277,0.295,1.33,0.372,0.270
2026-01-06 21:08:00,,0.277,0.295,1.33,0.372,0.270
2026-01-06 21:09:00,,0.329,0.242,1.33,0.372,0.270
2026-01-06 21:10:00,,0.236,0.242,1.33,0.372,0.270
2026-01-06 21:11:00,,0.225,0.189,1.33,0.372,0.270
2026-01-06 21:12:00,,0.368,0.473,0.414,0.372,2.43
2026-01-06 21:13:00,,0.343,0.157,0.293,0.372,2.54
2026-01-06 21:14:00,,0.278,0.195,0.251,0.372,2.52
2026-01-06 21:15:00,,0.278,0.195,0.251,0.372,2.52
2026-01-06 21:16:00,,0.278,0.195,0.251,0.372,2.52
2026-01-06 21:17:00,0.381,0.287,0.195,0.220,0.301,2.52
2026-01-06 21:18:00,0.228,0.222,0.195,0.312,0.230,2.52
2026-01-06 21:19:00,0.220,0.372,0.195,0.312,0.258,2.52
2026-01-06 21:20:00,0.220,0.372,0.195,0.312,0.258,2.52
2026-01-06 21:21:00,0.197,0.247,0.195,0.312,0.258,0.354
2026-01-06 21:22:00,0.197,0.247,0.195,0.312,0.258,0.354
2026-01-06 21:23:00,0.253,0.247,0.195,0.312,0.258,0.354
2026-01-06 21:24:00,0.219,0.247,0.195,2.36,0.258,0.354
2026-01-06 21:25:00,0.160,0.247,2.03,2.02,0.258,0.203
2026-01-06 21:26:00,0.172,0.247,1.94,1.98,0.258,0.170
2026-01-06 21:27:00,0.216,0.247,1.89,1.89,0.258,0.170
2026-01-06 21:28:00,0.216,0.247,1.89,1.89,0.258,0.170
2026-01-06 21:29:00,0.263,0.247,1.89,1.89,0.258,0.170
2026-01-06 21:30:00,0.263,0.247,1.89,1.89,0.258,0.170
2026-01-06 21:31:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:32:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:33:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:34:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:35:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:36:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:37:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:38:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:39:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:40:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:41:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:42:00,0.263,0.247,1.89,0.216,0.258,0.170
2026-01-06 21:43:00,0.263,0.247,1.89,0.215,0.258,0.170
2026-01-06 21:44:00,0.263,0.247,1.89,0.215,0.258,0.170
2026-01-06 21:45:00,0.263,0.247,1.91,0.238,0.258,0.152
2026-01-06 21:46:00,2.10,0.247,1.88,0.189,0.258,0.165
2026-01-06 21:47:00,1.33,0.247,1.11,0.256,0.258,0.221
2026-01-06 21:48:00,1.15,0.247,1.24,0.311,0.258,0.145
2026-01-06 21:49:00,1.64,0.247,1.01,0.267,0.258,0.193
2026-01-06 21:50:00,1.64,0.247,1.01,0.267,0.258,0.193
2026-01-06 21:51:00,1.18,0.247,0.199,0.298,0.258,0.287
2026-01-06 21:52:00,1.06,0.247,0.147,0.213,0.258,0.330
2026-01-06 21:53:00,1.06,0.247,0.147,0.213,0.258,0.330
2026-01-06 21:54:00,1.06,0.247,0.147,0.213,0.258,0.330
2026-01-06 21:55:00,0.776,0.247,0.180,0.179,0.258,0.546
2026-01-06 21:56:00,0.776,0.247,0.180,0.179,0.258,0.546
2026-01-06 21:57:00,0.639,0.247,0.116,0.238,0.258,0.546
2026-01-06 21:58:00,0.699,0.247,0.244,0.262,2.36,0.546
2026-01-06 21:59:00,0.671,0.247,0.380,0.224,2.37,0.546
2026-01-06 22:00:00,0.671,0.247,0.380,0.224,2.37,0.546
2026-01-06 22:01:00,0.638,0.247,0.251,0.237,2.37,0.546
2026-01-06 22:02:00,0.683,2.33,0.217,0.228,2.37,0.546
2026-01-06 22:03:00,0.705,2.33,0.217,0.214,2.37,0.546
2026-01-06 22:04:00,0.613,2.30,0.226,0.159,2.37,0.546
2026-01-06 22:05:00,0.676,2.24,0.175,0.219,2.37,0.546
2026-01-06 22:06:00,0.455,1.45,0.242,0.231,2.37,0.546
2026-01-06 22:07:00,0.514,1.36,0.208,0.247,2.37,0.546
2026-01-06 22:08:00,0.514,1.36,0.208,0.247,2.37,0.546
2026-01-06 22:09:00,2.34,1.32,0.222,0.221,2.37,0.546
2026-01-06 22:10:00,1.83,0.979,0.252,0.250,2.37,0.546
2026-01-06 22:11:00,1.83,0.979,0.252,0.250,2.37,0.546
2026-01-06 22:12:00,1.83,0.979,0.252,0.250,2.37,0.546
2026-01-06 22:13:00,1.56,0.852,0.819,0.246,2.37,0.546
2026-01-06 22:14:00,1.56,0.852,0.819,0.246,2.37,0.546
2026-01-06 22:15:00,1.56,0.852,0.819,0.246,2.37,0.546
2026-01-06 22:16:00,1.56,0.852,0.819,0.246,2.37,0.546
2026-01-06 22:17:00,1.56,0.852,0.819,0.246,2.37,0.546