"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-08 16:39:00,0.0145,0.0177,0.0155,,,,,,
2026-01-08 16:40:00,0.0145,0.0177,0.0155,,,,-0.0192,-0.0174,-0.0198
2026-01-08 16:41:00,,,,,,,-0.00889,-0.0115,-0.0113
2026-01-08 16:42:00,,,,,,,-0.0101,-0.0107,-0.00771
2026-01-08 16:43:00,,,,,,,-0.00987,-0.00996,-0.00784
2026-01-08 16:44:00,,,,,,,-0.00860,-0.00654,-0.00434
2026-01-08 16:45:00,,,,,,,-0.00859,-0.00585,-0.00641
2026-01-08 16:46:00,,,,,,,-0.00622,-0.00468,-0.00597
2026-01-08 16:47:00,,,,,,,-0.00137,-0.00419,-0.00432
2026-01-08 16:48:00,,,,,,,0.000542,-0.00332,-0.00126
2026-01-08 16:49:00,,,,,,,-0.000163,0.00480,0.00141
2026-01-08 16:50:00,,,,,,,0.00523,0.00537,0.00557
2026-01-08 16:51:00,,,,,,,0.00523,0.00537,0.00557
2026-01-08 16:52:00,,,,,,,0.00523,0.00537,0.00557
2026-01-08 16:53:00,,,,,,,0.00523,0.00537,0.00557
2026-01-08 16:54:00,,,,-0.0211,-0.0173,-0.0183,0.00523,0.00537,0.00557