"Time","in:ppo_d964df25","out:ppo_d964df25","sum:ppo_d964df25"
2026-01-08 14:15:00,922 kB,933 kB,1.85 MB
2026-01-08 14:16:00,2.08 MB,2.07 MB,4.14 MB
2026-01-08 14:17:00,3.20 MB,3.18 MB,6.38 MB
2026-01-08 14:18:00,4.29 MB,4.32 MB,8.61 MB
2026-01-08 14:19:00,5.48 MB,5.45 MB,10.9 MB
2026-01-08 14:20:00,6.66 MB,6.63 MB,13.3 MB
2026-01-08 14:21:00,7.80 MB,7.79 MB,15.6 MB
2026-01-08 14:22:00,8.92 MB,8.91 MB,17.8 MB
2026-01-08 14:23:00,10.0 MB,10.0 MB,20.1 MB
2026-01-08 14:24:00,11.2 MB,11.2 MB,22.4 MB
2026-01-08 14:25:00,12.4 MB,12.4 MB,24.7 MB
2026-01-08 14:26:00,13.5 MB,13.5 MB,27.0 MB
2026-01-08 14:27:00,14.6 MB,14.6 MB,29.2 MB
2026-01-08 14:28:00,15.7 MB,15.8 MB,31.5 MB
2026-01-08 14:29:00,16.9 MB,16.9 MB,33.8 MB
2026-01-08 14:30:00,18.0 MB,18.1 MB,36.1 MB
2026-01-08 14:31:00,19.2 MB,19.2 MB,38.4 MB
2026-01-08 14:32:00,20.3 MB,20.4 MB,40.7 MB
2026-01-08 14:33:00,21.4 MB,21.5 MB,42.9 MB
2026-01-08 14:34:00,22.6 MB,22.6 MB,45.2 MB
2026-01-08 14:35:00,23.8 MB,23.8 MB,47.6 MB
2026-01-08 14:36:00,24.9 MB,24.9 MB,49.8 MB
2026-01-08 14:37:00,26.1 MB,26.1 MB,52.2 MB
2026-01-08 14:38:00,27.3 MB,27.3 MB,54.6 MB
2026-01-08 14:39:00,28.4 MB,28.4 MB,56.8 MB
2026-01-08 14:40:00,29.6 MB,29.6 MB,59.2 MB
2026-01-08 14:41:00,30.7 MB,30.7 MB,61.5 MB
2026-01-08 14:42:00,31.9 MB,31.9 MB,63.7 MB
2026-01-08 14:43:00,33.0 MB,33.0 MB,66.0 MB
2026-01-08 14:44:00,34.1 MB,34.2 MB,68.3 MB
2026-01-08 14:45:00,35.3 MB,35.3 MB,70.6 MB
2026-01-08 14:46:00,36.5 MB,36.5 MB,72.9 MB
2026-01-08 14:47:00,37.6 MB,37.6 MB,75.2 MB
2026-01-08 14:48:00,38.7 MB,38.8 MB,77.5 MB
2026-01-08 14:49:00,39.9 MB,39.9 MB,79.8 MB
2026-01-08 14:50:00,41.1 MB,41.1 MB,82.1 MB
2026-01-08 14:51:00,42.2 MB,42.2 MB,84.4 MB
2026-01-08 14:52:00,43.3 MB,43.3 MB,86.7 MB
2026-01-08 14:53:00,44.5 MB,44.5 MB,88.9 MB
2026-01-08 14:54:00,45.6 MB,45.6 MB,91.2 MB
2026-01-08 14:55:00,46.8 MB,46.8 MB,93.5 MB
2026-01-08 14:56:00,47.9 MB,47.9 MB,95.8 MB
2026-01-08 14:57:00,49.0 MB,49.0 MB,98.0 MB
2026-01-08 14:58:00,50.1 MB,50.1 MB,100 MB
2026-01-08 14:59:00,51.2 MB,51.3 MB,103 MB
2026-01-08 15:00:00,52.4 MB,52.4 MB,105 MB
2026-01-08 15:01:00,52.4 MB,52.4 MB,105 MB
2026-01-08 15:02:00,52.4 MB,52.4 MB,105 MB
2026-01-08 15:03:00,52.4 MB,52.4 MB,105 MB