"Time","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB"
2026-01-08 15:31:00,0.00663,0.00701
2026-01-08 15:32:00,-0.00884,-0.00674
2026-01-08 15:33:00,-0.0127,-0.0210
2026-01-08 15:34:00,-0.0189,-0.0232
2026-01-08 15:35:00,-0.0190,-0.0164
2026-01-08 15:36:00,-0.0179,-0.0200
2026-01-08 15:37:00,-0.0116,-0.0192
2026-01-08 15:38:00,-0.0211,-0.00663
2026-01-08 15:39:00,-0.0104,-0.00622
2026-01-08 15:40:00,-0.00195,-0.0101
2026-01-08 15:41:00,-0.0167,-0.00272
2026-01-08 15:42:00,-0.00509,-0.00561
2026-01-08 15:43:00,0.00405,-0.00238
2026-01-08 15:44:00,-0.00270,-0.00501
2026-01-08 15:45:00,-0.00480,-0.00276
2026-01-08 15:46:00,-0.00508,-0.00713
2026-01-08 15:47:00,-0.000437,0.00152
2026-01-08 15:48:00,0.00217,-0.00235
2026-01-08 15:49:00,0.000305,-0.00700
2026-01-08 15:50:00,-0.000837,-0.000205
2026-01-08 15:51:00,-0.00450,-0.00532
2026-01-08 15:52:00,-0.00877,0.000717
2026-01-08 15:53:00,-0.000581,-0.00252
2026-01-08 15:54:00,-0.00352,0.00147
2026-01-08 15:55:00,-0.000935,-0.00476
2026-01-08 15:56:00,0.00130,-0.00404
2026-01-08 15:57:00,-0.00252,0.00249
2026-01-08 15:58:00,0.000185,-0.000150
2026-01-08 15:59:00,-0.000479,0.00361
2026-01-08 16:00:00,0.000160,-0.00349
2026-01-08 16:01:00,0.00379,0.00502
2026-01-08 16:02:00,-0.00659,0.000166
2026-01-08 16:03:00,-0.000152,-0.00129
2026-01-08 16:04:00,0.00326,0.00142
2026-01-08 16:05:00,0.00763,0.00570
2026-01-08 16:06:00,0.00542,0.00439
2026-01-08 16:07:00,0.00670,0.00847
2026-01-08 16:08:00,0.00592,0.000709
2026-01-08 16:09:00,0.00928,0.00879
2026-01-08 16:10:00,0.0000198,0.00295
2026-01-08 16:11:00,0.00715,0.00993
2026-01-08 16:12:00,0.00951,0.00920
2026-01-08 16:13:00,0.0130,0.0142
2026-01-08 16:14:00,0.00828,0.0132
2026-01-08 16:15:00,0.00828,0.0190
2026-01-08 16:16:00,0.00828,0.0190
2026-01-08 16:17:00,0.00828,0.0190
2026-01-08 16:18:00,0.00828,0.0190
2026-01-08 16:19:00,0.00828,0.0190