"Time","gateway1","scheduler","worker1","worker2","worker3"
2026-01-08 15:31:00,4.69 kb/s,,18.3 kb/s,34.5 kb/s,21.6 kb/s
2026-01-08 15:32:00,5.46 kb/s,5.35 kb/s,38.9 kb/s,82.3 kb/s,40.0 kb/s
2026-01-08 15:33:00,4.16 kb/s,7.94 kb/s,59.9 kb/s,130 kb/s,58.2 kb/s
2026-01-08 15:34:00,1.43 kb/s,11.1 kb/s,73.7 kb/s,145 kb/s,73.2 kb/s
2026-01-08 15:35:00,599 b/s,10.9 kb/s,73.4 kb/s,147 kb/s,73.7 kb/s
2026-01-08 15:36:00,1.00 kb/s,11.7 kb/s,74.0 kb/s,148 kb/s,74.8 kb/s
2026-01-08 15:37:00,1.01 kb/s,11.8 kb/s,73.7 kb/s,148 kb/s,74.5 kb/s
2026-01-08 15:38:00,866 b/s,11.6 kb/s,73.5 kb/s,150 kb/s,74.1 kb/s
2026-01-08 15:39:00,400 b/s,10.9 kb/s,74.2 kb/s,150 kb/s,74.4 kb/s
2026-01-08 15:40:00,501 b/s,10.9 kb/s,73.4 kb/s,149 kb/s,74.8 kb/s
2026-01-08 15:41:00,967 b/s,11.6 kb/s,74.9 kb/s,146 kb/s,74.8 kb/s
2026-01-08 15:42:00,951 b/s,11.6 kb/s,73.6 kb/s,147 kb/s,73.3 kb/s
2026-01-08 15:43:00,866 b/s,11.5 kb/s,75.4 kb/s,148 kb/s,72.9 kb/s
2026-01-08 15:44:00,400 b/s,10.8 kb/s,74.0 kb/s,148 kb/s,73.3 kb/s
2026-01-08 15:45:00,524 b/s,10.9 kb/s,74.4 kb/s,147 kb/s,74.0 kb/s
2026-01-08 15:46:00,1.01 kb/s,11.6 kb/s,74.0 kb/s,147 kb/s,74.0 kb/s
2026-01-08 15:47:00,1.02 kb/s,11.7 kb/s,73.8 kb/s,147 kb/s,73.6 kb/s
2026-01-08 15:48:00,913 b/s,11.7 kb/s,73.5 kb/s,147 kb/s,73.0 kb/s
2026-01-08 15:49:00,400 b/s,11.0 kb/s,73.0 kb/s,147 kb/s,73.2 kb/s
2026-01-08 15:50:00,501 b/s,11.0 kb/s,73.2 kb/s,147 kb/s,73.7 kb/s
2026-01-08 15:51:00,967 b/s,11.6 kb/s,73.8 kb/s,147 kb/s,73.7 kb/s
2026-01-08 15:52:00,927 b/s,11.6 kb/s,73.8 kb/s,147 kb/s,73.5 kb/s
2026-01-08 15:53:00,819 b/s,11.6 kb/s,73.5 kb/s,147 kb/s,73.1 kb/s
2026-01-08 15:54:00,353 b/s,10.8 kb/s,73.0 kb/s,146 kb/s,73.3 kb/s
2026-01-08 15:55:00,501 b/s,10.9 kb/s,73.1 kb/s,146 kb/s,73.7 kb/s
2026-01-08 15:56:00,967 b/s,11.6 kb/s,73.9 kb/s,147 kb/s,73.7 kb/s
2026-01-08 15:57:00,927 b/s,11.6 kb/s,73.8 kb/s,148 kb/s,73.4 kb/s
2026-01-08 15:58:00,819 b/s,11.6 kb/s,73.6 kb/s,149 kb/s,74.1 kb/s
2026-01-08 15:59:00,353 b/s,10.9 kb/s,74.2 kb/s,150 kb/s,75.4 kb/s
2026-01-08 16:00:00,525 b/s,10.9 kb/s,74.3 kb/s,150 kb/s,75.8 kb/s
2026-01-08 16:01:00,1.01 kb/s,11.6 kb/s,76.0 kb/s,149 kb/s,74.8 kb/s
2026-01-08 16:02:00,974 b/s,11.6 kb/s,74.6 kb/s,147 kb/s,73.4 kb/s
2026-01-08 16:03:00,842 b/s,11.7 kb/s,74.6 kb/s,147 kb/s,72.9 kb/s
2026-01-08 16:04:00,353 b/s,10.9 kb/s,71.0 kb/s,145 kb/s,72.2 kb/s
2026-01-08 16:05:00,501 b/s,10.9 kb/s,72.1 kb/s,145 kb/s,73.7 kb/s
2026-01-08 16:06:00,967 b/s,11.7 kb/s,72.6 kb/s,147 kb/s,73.8 kb/s
2026-01-08 16:07:00,927 b/s,11.6 kb/s,75.7 kb/s,148 kb/s,74.6 kb/s
2026-01-08 16:08:00,819 b/s,11.5 kb/s,74.6 kb/s,149 kb/s,73.2 kb/s
2026-01-08 16:09:00,353 b/s,10.8 kb/s,74.3 kb/s,146 kb/s,73.4 kb/s
2026-01-08 16:10:00,501 b/s,10.8 kb/s,73.5 kb/s,147 kb/s,73.9 kb/s
2026-01-08 16:11:00,991 b/s,11.6 kb/s,72.8 kb/s,147 kb/s,73.7 kb/s
2026-01-08 16:12:00,974 b/s,11.5 kb/s,73.8 kb/s,147 kb/s,73.5 kb/s
2026-01-08 16:13:00,875 b/s,11.5 kb/s,73.5 kb/s,147 kb/s,72.9 kb/s
2026-01-08 16:14:00,393 b/s,10.8 kb/s,74.1 kb/s,146 kb/s,73.2 kb/s
2026-01-08 16:15:00,517 b/s,10.9 kb/s,73.3 kb/s,147 kb/s,73.6 kb/s
2026-01-08 16:16:00,973 b/s,8.75 kb/s,65.2 kb/s,130 kb/s,53.9 kb/s
2026-01-08 16:17:00,902 b/s,6.05 kb/s,40.9 kb/s,81.0 kb/s,29.4 kb/s
2026-01-08 16:18:00,740 b/s,,16.6 kb/s,35.2 kb/s,4.70 kb/s
2026-01-08 16:19:00,145 b/s,,337 b/s,341 b/s,176 b/s