"Time","sum:resnet_americas_03e4b61/gateway1","sum:resnet_americas_03e4b61/scheduler","sum:resnet_americas_03e4b61/worker1","sum:resnet_americas_03e4b61/worker3","sum:resnet_americas_03e4b61/worker4","sum:resnet_americas_03e4b61/worker6"
2026-01-05 18:30:00,103 MB,,2.35 TB,6.44 TB,2.39 TB,2.33 TB
2026-01-05 18:35:00,103 MB,,2.35 TB,6.44 TB,2.39 TB,2.33 TB
2026-01-05 18:40:00,103 MB,,2.35 TB,6.44 TB,2.39 TB,2.33 TB
2026-01-05 18:45:00,104 MB,268 kB,2.36 TB,6.44 TB,2.39 TB,2.34 TB
2026-01-05 18:50:00,104 MB,1.03 MB,2.38 TB,6.44 TB,2.40 TB,2.35 TB
2026-01-05 18:55:00,104 MB,1.77 MB,2.40 TB,6.44 TB,2.40 TB,2.37 TB
2026-01-05 19:00:00,104 MB,2.56 MB,2.43 TB,6.45 TB,2.41 TB,2.38 TB
2026-01-05 19:05:00,105 MB,3.40 MB,2.45 TB,6.45 TB,2.41 TB,2.39 TB
2026-01-05 19:10:00,105 MB,4.15 MB,2.47 TB,6.45 TB,2.42 TB,2.41 TB
2026-01-05 19:15:00,105 MB,4.85 MB,2.50 TB,6.46 TB,2.42 TB,2.42 TB
2026-01-05 19:20:00,105 MB,5.57 MB,2.52 TB,6.46 TB,2.43 TB,2.43 TB
2026-01-05 19:25:00,105 MB,6.36 MB,2.55 TB,6.46 TB,2.43 TB,2.45 TB
2026-01-05 19:30:00,105 MB,7.13 MB,2.55 TB,6.47 TB,2.44 TB,2.45 TB
2026-01-05 19:35:00,105 MB,7.95 MB,2.56 TB,6.48 TB,2.44 TB,2.46 TB
2026-01-05 19:40:00,105 MB,8.65 MB,2.56 TB,6.48 TB,2.45 TB,2.46 TB
2026-01-05 19:45:00,105 MB,9.20 MB,2.56 TB,6.48 TB,2.45 TB,2.46 TB
2026-01-05 19:50:00,106 MB,9.89 MB,2.56 TB,6.49 TB,2.46 TB,2.46 TB
2026-01-05 19:55:00,106 MB,10.5 MB,2.56 TB,6.49 TB,2.46 TB,2.48 TB
2026-01-05 20:00:00,106 MB,11.1 MB,2.56 TB,6.49 TB,2.47 TB,2.48 TB
2026-01-05 20:05:00,106 MB,11.9 MB,2.56 TB,6.50 TB,2.47 TB,2.49 TB
2026-01-05 20:10:00,106 MB,12.9 MB,2.57 TB,6.51 TB,2.47 TB,2.49 TB
2026-01-05 20:15:00,106 MB,13.7 MB,2.57 TB,6.51 TB,2.48 TB,2.50 TB
2026-01-05 20:20:00,106 MB,14.2 MB,2.57 TB,6.52 TB,2.48 TB,2.50 TB
2026-01-05 20:25:00,106 MB,14.8 MB,2.57 TB,6.52 TB,2.49 TB,2.51 TB
2026-01-05 20:30:00,107 MB,15.4 MB,2.57 TB,6.53 TB,2.49 TB,2.51 TB
2026-01-05 20:35:00,107 MB,16.3 MB,2.58 TB,6.54 TB,2.50 TB,2.51 TB
2026-01-05 20:40:00,107 MB,17.1 MB,2.58 TB,6.54 TB,2.50 TB,2.52 TB
2026-01-05 20:45:00,107 MB,17.7 MB,2.58 TB,6.55 TB,2.50 TB,2.52 TB
2026-01-05 20:50:00,107 MB,18.2 MB,2.58 TB,6.55 TB,2.51 TB,2.53 TB
2026-01-05 20:55:00,107 MB,19.1 MB,2.58 TB,6.56 TB,2.51 TB,2.53 TB
2026-01-05 21:00:00,107 MB,20.0 MB,2.59 TB,6.57 TB,2.51 TB,2.53 TB
2026-01-05 21:05:00,107 MB,20.6 MB,2.59 TB,6.57 TB,2.52 TB,2.53 TB
2026-01-05 21:10:00,108 MB,21.3 MB,2.59 TB,6.58 TB,2.52 TB,2.54 TB
2026-01-05 21:15:00,108 MB,22.1 MB,2.59 TB,6.59 TB,2.53 TB,2.54 TB
2026-01-05 21:20:00,108 MB,23.0 MB,2.60 TB,6.60 TB,2.53 TB,2.54 TB
2026-01-05 21:25:00,108 MB,23.5 MB,2.60 TB,6.60 TB,2.53 TB,2.54 TB
2026-01-05 21:30:00,108 MB,24.0 MB,2.60 TB,6.60 TB,2.54 TB,2.55 TB
2026-01-05 21:35:00,108 MB,24.7 MB,2.60 TB,6.61 TB,2.54 TB,2.55 TB
2026-01-05 21:40:00,108 MB,25.6 MB,2.61 TB,6.62 TB,2.55 TB,2.55 TB
2026-01-05 21:45:00,109 MB,26.4 MB,2.61 TB,6.62 TB,2.55 TB,2.55 TB
2026-01-05 21:50:00,109 MB,27.0 MB,2.61 TB,6.63 TB,2.55 TB,2.55 TB
2026-01-05 21:55:00,109 MB,27.8 MB,2.61 TB,6.64 TB,2.56 TB,2.56 TB
2026-01-05 22:00:00,109 MB,28.6 MB,2.61 TB,6.64 TB,2.56 TB,2.56 TB
2026-01-05 22:05:00,109 MB,29.0 MB,2.61 TB,6.64 TB,104 kB,2.56 TB
2026-01-05 22:10:00,115 MB,29.5 MB,2.61 TB,6.64 TB,1.32 GB,2.56 TB
2026-01-05 22:15:00,115 MB,29.8 MB,2.61 TB,6.64 TB,,2.56 TB
2026-01-05 22:20:00,115 MB,30.2 MB,2.62 TB,6.64 TB,,2.56 TB
2026-01-05 22:25:00,115 MB,30.6 MB,2.62 TB,6.64 TB,,2.56 TB
2026-01-05 22:30:00,115 MB,30.9 MB,2.62 TB,6.64 TB,,2.56 TB
2026-01-05 22:35:00,115 MB,31.3 MB,2.62 TB,6.65 TB,,2.56 TB
2026-01-05 22:40:00,115 MB,31.7 MB,2.62 TB,6.65 TB,,2.56 TB
2026-01-05 22:45:00,115 MB,32.0 MB,2.62 TB,6.65 TB,,2.56 TB
2026-01-05 22:50:00,115 MB,32.4 MB,2.62 TB,6.65 TB,,2.56 TB
2026-01-05 22:55:00,115 MB,32.8 MB,2.62 TB,6.65 TB,,2.56 TB
2026-01-05 23:00:00,115 MB,33.2 MB,2.62 TB,6.65 TB,,2.56 TB
2026-01-05 23:05:00,115 MB,33.7 MB,2.63 TB,6.65 TB,,2.57 TB
2026-01-05 23:10:00,115 MB,34.4 MB,2.63 TB,6.66 TB,,2.57 TB
2026-01-05 23:15:00,115 MB,35.1 MB,2.63 TB,6.66 TB,,2.57 TB
2026-01-05 23:20:00,116 MB,35.8 MB,2.64 TB,6.67 TB,,2.58 TB
2026-01-05 23:25:00,116 MB,36.3 MB,2.66 TB,6.67 TB,,2.60 TB
2026-01-05 23:30:00,116 MB,36.9 MB,2.67 TB,6.67 TB,,2.60 TB
2026-01-05 23:35:00,116 MB,37.7 MB,2.67 TB,6.68 TB,,2.60 TB
2026-01-05 23:40:00,116 MB,38.3 MB,2.67 TB,6.68 TB,,2.61 TB
2026-01-05 23:45:00,116 MB,39.0 MB,2.67 TB,6.69 TB,,2.61 TB
2026-01-05 23:50:00,116 MB,39.7 MB,2.68 TB,6.69 TB,,2.62 TB
2026-01-05 23:55:00,116 MB,40.4 MB,2.68 TB,6.70 TB,,2.62 TB
2026-01-06 00:00:00,116 MB,41.1 MB,2.68 TB,6.70 TB,,2.62 TB
2026-01-06 00:05:00,116 MB,41.8 MB,2.68 TB,6.71 TB,,2.62 TB
2026-01-06 00:10:00,116 MB,42.5 MB,2.69 TB,6.71 TB,,2.63 TB
2026-01-06 00:15:00,116 MB,43.2 MB,2.69 TB,6.72 TB,,2.63 TB
2026-01-06 00:20:00,116 MB,43.9 MB,2.69 TB,6.72 TB,,2.63 TB
2026-01-06 00:25:00,116 MB,44.6 MB,2.69 TB,6.73 TB,776 MB,2.63 TB
2026-01-06 00:30:00,117 MB,45.2 MB,2.70 TB,6.73 TB,6.06 GB,2.64 TB
2026-01-06 00:35:00,117 MB,46.0 MB,2.70 TB,6.74 TB,12.4 GB,2.64 TB
2026-01-06 00:40:00,117 MB,46.6 MB,2.70 TB,6.74 TB,17.8 GB,2.64 TB
2026-01-06 00:45:00,117 MB,47.4 MB,2.70 TB,6.75 TB,24.2 GB,2.64 TB
2026-01-06 00:50:00,117 MB,48.1 MB,2.71 TB,6.76 TB,28.3 GB,2.64 TB
2026-01-06 00:55:00,117 MB,48.6 MB,2.71 TB,6.76 TB,32.9 GB,2.64 TB
2026-01-06 01:00:00,117 MB,49.1 MB,2.71 TB,6.76 TB,37.5 GB,2.65 TB
2026-01-06 01:05:00,117 MB,49.6 MB,2.71 TB,6.76 TB,42.5 GB,2.65 TB
2026-01-06 01:10:00,117 MB,50.2 MB,2.71 TB,6.77 TB,47.7 GB,2.65 TB
2026-01-06 01:15:00,118 MB,50.8 MB,2.71 TB,6.77 TB,53.1 GB,2.65 TB
2026-01-06 01:20:00,118 MB,51.5 MB,2.71 TB,6.78 TB,58.3 GB,2.65 TB
2026-01-06 01:25:00,118 MB,52.2 MB,2.72 TB,6.78 TB,62.3 GB,2.65 TB
2026-01-06 01:30:00,118 MB,53.1 MB,2.72 TB,6.79 TB,65.1 GB,2.66 TB
2026-01-06 01:35:00,118 MB,53.8 MB,2.72 TB,6.80 TB,68.6 GB,2.66 TB
2026-01-06 01:40:00,118 MB,54.3 MB,2.72 TB,6.80 TB,72.6 GB,2.66 TB
2026-01-06 01:45:00,118 MB,54.9 MB,2.72 TB,6.80 TB,77.1 GB,2.66 TB
2026-01-06 01:50:00,118 MB,55.4 MB,2.72 TB,6.80 TB,81.3 GB,2.66 TB
2026-01-06 01:55:00,118 MB,56.1 MB,2.73 TB,6.81 TB,84.9 GB,2.66 TB
2026-01-06 02:00:00,119 MB,57.0 MB,2.73 TB,6.82 TB,88.1 GB,2.67 TB
2026-01-06 02:05:00,119 MB,57.5 MB,2.73 TB,6.82 TB,93.0 GB,2.67 TB
2026-01-06 02:10:00,119 MB,58.0 MB,2.73 TB,6.82 TB,98.1 GB,2.67 TB
2026-01-06 02:15:00,119 MB,58.5 MB,2.73 TB,6.83 TB,102 GB,2.67 TB
2026-01-06 02:20:00,119 MB,59.1 MB,2.73 TB,6.83 TB,107 GB,2.67 TB
2026-01-06 02:25:00,119 MB,59.6 MB,2.73 TB,6.83 TB,112 GB,2.67 TB
2026-01-06 02:30:00,119 MB,60.4 MB,2.74 TB,6.84 TB,115 GB,2.67 TB
2026-01-06 02:35:00,119 MB,61.3 MB,2.74 TB,6.85 TB,118 GB,2.68 TB
2026-01-06 02:40:00,120 MB,61.9 MB,2.74 TB,6.85 TB,123 GB,2.68 TB
2026-01-06 02:45:00,120 MB,62.4 MB,2.74 TB,6.85 TB,127 GB,2.68 TB
2026-01-06 02:50:00,120 MB,63.1 MB,2.74 TB,6.86 TB,131 GB,2.68 TB
2026-01-06 02:55:00,120 MB,64.0 MB,2.75 TB,6.87 TB,134 GB,2.68 TB
2026-01-06 03:00:00,120 MB,64.8 MB,2.75 TB,6.88 TB,138 GB,2.69 TB
2026-01-06 03:05:00,120 MB,65.3 MB,2.75 TB,6.88 TB,142 GB,2.69 TB
2026-01-06 03:10:00,120 MB,66.0 MB,2.75 TB,6.89 TB,146 GB,2.69 TB
2026-01-06 03:15:00,120 MB,66.8 MB,2.76 TB,6.90 TB,149 GB,2.69 TB
2026-01-06 03:20:00,120 MB,67.7 MB,2.76 TB,6.90 TB,152 GB,2.69 TB
2026-01-06 03:25:00,121 MB,68.3 MB,2.76 TB,6.91 TB,156 GB,2.70 TB
2026-01-06 03:30:00,121 MB,69.1 MB,2.76 TB,6.92 TB,160 GB,2.70 TB
2026-01-06 03:35:00,121 MB,70.0 MB,2.77 TB,6.93 TB,163 GB,2.70 TB
2026-01-06 03:40:00,121 MB,70.6 MB,2.77 TB,6.93 TB,167 GB,2.70 TB
2026-01-06 03:45:00,121 MB,71.1 MB,2.77 TB,6.93 TB,172 GB,2.70 TB
2026-01-06 03:50:00,121 MB,71.8 MB,2.77 TB,6.94 TB,175 GB,2.71 TB
2026-01-06 03:55:00,121 MB,72.6 MB,2.77 TB,6.95 TB,179 GB,2.71 TB
2026-01-06 04:00:00,121 MB,73.5 MB,2.78 TB,6.96 TB,182 GB,2.71 TB
2026-01-06 04:05:00,122 MB,74.2 MB,2.78 TB,6.96 TB,186 GB,2.71 TB
2026-01-06 04:10:00,122 MB,75.2 MB,2.78 TB,6.97 TB,190 GB,2.72 TB
2026-01-06 04:15:00,122 MB,76.0 MB,2.78 TB,6.98 TB,193 GB,2.72 TB
2026-01-06 04:20:00,122 MB,76.6 MB,2.79 TB,6.99 TB,198 GB,2.72 TB
2026-01-06 04:25:00,122 MB,77.5 MB,2.79 TB,7.00 TB,201 GB,2.73 TB
2026-01-06 04:30:00,122 MB,78.4 MB,2.79 TB,7.01 TB,204 GB,2.73 TB
2026-01-06 04:35:00,122 MB,79.1 MB,2.79 TB,7.01 TB,209 GB,2.73 TB
2026-01-06 04:40:00,122 MB,80.0 MB,2.80 TB,7.02 TB,212 GB,2.73 TB
2026-01-06 04:45:00,122 MB,80.9 MB,2.80 TB,7.03 TB,216 GB,2.74 TB
2026-01-06 04:50:00,123 MB,81.7 MB,2.80 TB,7.04 TB,219 GB,2.74 TB
2026-01-06 04:55:00,123 MB,82.7 MB,2.81 TB,7.05 TB,222 GB,2.74 TB
2026-01-06 05:00:00,123 MB,83.6 MB,2.81 TB,7.06 TB,226 GB,2.75 TB
2026-01-06 05:05:00,123 MB,84.5 MB,2.81 TB,7.07 TB,229 GB,2.75 TB
2026-01-06 05:10:00,123 MB,85.4 MB,2.82 TB,7.08 TB,232 GB,2.75 TB
2026-01-06 05:15:00,123 MB,86.2 MB,2.82 TB,7.09 TB,236 GB,2.76 TB
2026-01-06 05:20:00,123 MB,87.1 MB,2.82 TB,7.10 TB,240 GB,2.76 TB
2026-01-06 05:25:00,123 MB,88.0 MB,2.83 TB,7.11 TB,243 GB,2.76 TB
2026-01-06 05:30:00,124 MB,88.9 MB,2.83 TB,7.12 TB,247 GB,2.77 TB
2026-01-06 05:35:00,124 MB,89.8 MB,2.83 TB,7.13 TB,250 GB,2.77 TB
2026-01-06 05:40:00,124 MB,90.6 MB,2.84 TB,7.14 TB,254 GB,2.77 TB
2026-01-06 05:45:00,124 MB,91.5 MB,2.84 TB,7.15 TB,257 GB,2.78 TB
2026-01-06 05:50:00,124 MB,92.4 MB,2.84 TB,7.16 TB,261 GB,2.78 TB
2026-01-06 05:55:00,124 MB,93.2 MB,2.85 TB,7.17 TB,264 GB,2.78 TB
2026-01-06 06:00:00,124 MB,94.1 MB,2.85 TB,7.18 TB,268 GB,2.79 TB
2026-01-06 06:05:00,124 MB,95.0 MB,2.85 TB,7.19 TB,271 GB,2.79 TB
2026-01-06 06:10:00,125 MB,95.8 MB,2.86 TB,7.20 TB,274 GB,2.79 TB
2026-01-06 06:15:00,125 MB,96.7 MB,2.86 TB,7.21 TB,278 GB,2.80 TB
2026-01-06 06:20:00,125 MB,97.5 MB,2.86 TB,7.21 TB,282 GB,2.80 TB
2026-01-06 06:25:00,125 MB,98.4 MB,2.87 TB,7.22 TB,285 GB,2.80 TB
2026-01-06 06:30:00,125 MB,99.2 MB,2.87 TB,7.23 TB,288 GB,2.80 TB
2026-01-06 06:35:00,125 MB,100 MB,2.87 TB,7.24 TB,292 GB,2.81 TB
2026-01-06 06:40:00,125 MB,101 MB,2.88 TB,7.25 TB,295 GB,2.81 TB
2026-01-06 06:45:00,125 MB,102 MB,2.88 TB,7.26 TB,299 GB,2.81 TB
2026-01-06 06:50:00,125 MB,103 MB,2.88 TB,7.27 TB,302 GB,2.82 TB
2026-01-06 06:55:00,126 MB,104 MB,2.89 TB,7.28 TB,305 GB,2.82 TB
2026-01-06 07:00:00,126 MB,105 MB,2.89 TB,7.29 TB,309 GB,2.82 TB
2026-01-06 07:05:00,126 MB,105 MB,2.89 TB,7.30 TB,312 GB,2.83 TB
2026-01-06 07:10:00,126 MB,106 MB,2.90 TB,7.31 TB,316 GB,2.83 TB
2026-01-06 07:15:00,126 MB,107 MB,2.90 TB,7.32 TB,319 GB,2.83 TB
2026-01-06 07:20:00,126 MB,108 MB,2.90 TB,7.33 TB,323 GB,2.84 TB
2026-01-06 07:25:00,126 MB,109 MB,2.91 TB,7.34 TB,326 GB,2.84 TB
2026-01-06 07:30:00,126 MB,110 MB,2.91 TB,7.35 TB,329 GB,2.84 TB
2026-01-06 07:35:00,127 MB,111 MB,2.91 TB,7.36 TB,333 GB,2.85 TB
2026-01-06 07:40:00,127 MB,111 MB,2.92 TB,7.37 TB,337 GB,2.85 TB
2026-01-06 07:45:00,127 MB,112 MB,2.92 TB,7.38 TB,340 GB,2.85 TB
2026-01-06 07:50:00,127 MB,113 MB,2.92 TB,7.39 TB,343 GB,2.86 TB
2026-01-06 07:55:00,127 MB,114 MB,2.93 TB,7.40 TB,347 GB,2.86 TB
2026-01-06 08:00:00,127 MB,115 MB,2.93 TB,7.41 TB,350 GB,2.86 TB
2026-01-06 08:05:00,127 MB,116 MB,2.93 TB,7.42 TB,353 GB,2.87 TB
2026-01-06 08:10:00,128 MB,117 MB,2.94 TB,7.43 TB,356 GB,2.87 TB
2026-01-06 08:15:00,128 MB,118 MB,2.94 TB,7.44 TB,360 GB,2.87 TB
2026-01-06 08:20:00,128 MB,119 MB,2.94 TB,7.45 TB,364 GB,2.88 TB
2026-01-06 08:25:00,128 MB,120 MB,2.95 TB,7.46 TB,367 GB,2.88 TB
2026-01-06 08:30:00,128 MB,121 MB,2.95 TB,7.47 TB,370 GB,2.88 TB
2026-01-06 08:35:00,128 MB,121 MB,2.95 TB,7.48 TB,374 GB,2.89 TB
2026-01-06 08:40:00,129 MB,122 MB,2.96 TB,7.49 TB,377 GB,2.89 TB
2026-01-06 08:45:00,129 MB,123 MB,2.96 TB,7.50 TB,381 GB,2.89 TB
2026-01-06 08:50:00,129 MB,124 MB,2.96 TB,7.51 TB,384 GB,2.90 TB
2026-01-06 08:55:00,129 MB,125 MB,2.97 TB,7.52 TB,387 GB,2.90 TB
2026-01-06 09:00:00,129 MB,126 MB,2.97 TB,7.53 TB,390 GB,2.90 TB
2026-01-06 09:05:00,129 MB,127 MB,2.97 TB,7.53 TB,394 GB,2.90 TB
2026-01-06 09:10:00,129 MB,127 MB,2.98 TB,7.55 TB,398 GB,2.91 TB
2026-01-06 09:15:00,129 MB,128 MB,2.98 TB,7.56 TB,401 GB,2.91 TB
2026-01-06 09:20:00,130 MB,129 MB,2.98 TB,7.56 TB,405 GB,2.91 TB
2026-01-06 09:25:00,130 MB,130 MB,2.99 TB,7.57 TB,408 GB,2.92 TB
2026-01-06 09:30:00,130 MB,131 MB,2.99 TB,7.58 TB,412 GB,2.92 TB
2026-01-06 09:35:00,130 MB,132 MB,2.99 TB,7.59 TB,416 GB,2.92 TB
2026-01-06 09:40:00,130 MB,132 MB,2.99 TB,7.60 TB,419 GB,2.93 TB
2026-01-06 09:45:00,130 MB,133 MB,3.00 TB,7.61 TB,422 GB,2.93 TB
2026-01-06 09:50:00,130 MB,134 MB,3.00 TB,7.62 TB,426 GB,2.93 TB
2026-01-06 09:55:00,130 MB,135 MB,3.00 TB,7.63 TB,429 GB,2.94 TB
2026-01-06 10:00:00,131 MB,136 MB,3.01 TB,7.64 TB,432 GB,2.94 TB
2026-01-06 10:05:00,131 MB,137 MB,3.01 TB,7.65 TB,436 GB,2.94 TB
2026-01-06 10:10:00,131 MB,138 MB,3.01 TB,7.66 TB,439 GB,2.95 TB
2026-01-06 10:15:00,131 MB,139 MB,3.02 TB,7.67 TB,442 GB,2.95 TB
2026-01-06 10:20:00,131 MB,140 MB,3.02 TB,7.68 TB,446 GB,2.95 TB
2026-01-06 10:25:00,131 MB,140 MB,3.02 TB,7.69 TB,449 GB,2.96 TB
2026-01-06 10:30:00,131 MB,141 MB,3.03 TB,7.70 TB,452 GB,2.96 TB
2026-01-06 10:35:00,131 MB,142 MB,3.03 TB,7.71 TB,456 GB,2.96 TB
2026-01-06 10:40:00,132 MB,143 MB,3.03 TB,7.72 TB,459 GB,2.97 TB
2026-01-06 10:45:00,132 MB,144 MB,3.04 TB,7.73 TB,463 GB,2.97 TB
2026-01-06 10:50:00,132 MB,145 MB,3.04 TB,7.74 TB,466 GB,2.97 TB
2026-01-06 10:55:00,132 MB,146 MB,3.05 TB,7.75 TB,469 GB,2.98 TB
2026-01-06 11:00:00,132 MB,147 MB,3.05 TB,7.76 TB,473 GB,2.98 TB
2026-01-06 11:05:00,132 MB,147 MB,3.05 TB,7.77 TB,476 GB,2.98 TB
2026-01-06 11:10:00,132 MB,148 MB,3.06 TB,7.78 TB,479 GB,2.99 TB
2026-01-06 11:15:00,132 MB,149 MB,3.06 TB,7.79 TB,483 GB,2.99 TB
2026-01-06 11:20:00,133 MB,150 MB,3.06 TB,7.80 TB,486 GB,2.99 TB
2026-01-06 11:25:00,133 MB,151 MB,3.06 TB,7.81 TB,489 GB,3.00 TB
2026-01-06 11:30:00,133 MB,152 MB,3.07 TB,7.82 TB,492 GB,3.00 TB
2026-01-06 11:35:00,133 MB,153 MB,3.07 TB,7.83 TB,494 GB,3.00 TB
2026-01-06 11:40:00,133 MB,154 MB,3.07 TB,7.83 TB,497 GB,3.00 TB
2026-01-06 11:45:00,133 MB,155 MB,3.08 TB,7.84 TB,500 GB,3.01 TB
2026-01-06 11:50:00,133 MB,156 MB,3.08 TB,7.85 TB,502 GB,3.01 TB
2026-01-06 11:55:00,133 MB,156 MB,3.08 TB,7.86 TB,505 GB,3.01 TB
2026-01-06 12:00:00,134 MB,157 MB,3.08 TB,7.87 TB,508 GB,3.02 TB
2026-01-06 12:05:00,134 MB,158 MB,3.09 TB,7.87 TB,510 GB,3.02 TB
2026-01-06 12:10:00,134 MB,159 MB,3.09 TB,7.88 TB,513 GB,3.02 TB
2026-01-06 12:15:00,134 MB,160 MB,3.09 TB,7.89 TB,516 GB,3.02 TB
2026-01-06 12:20:00,134 MB,161 MB,3.09 TB,7.90 TB,518 GB,3.03 TB
2026-01-06 12:25:00,134 MB,162 MB,3.10 TB,7.90 TB,521 GB,3.03 TB
2026-01-06 12:30:00,134 MB,163 MB,3.10 TB,7.91 TB,523 GB,3.03 TB
2026-01-06 12:35:00,134 MB,164 MB,3.10 TB,7.92 TB,526 GB,3.03 TB
2026-01-06 12:40:00,135 MB,165 MB,3.10 TB,7.93 TB,528 GB,3.04 TB
2026-01-06 12:45:00,135 MB,165 MB,3.11 TB,7.94 TB,531 GB,3.04 TB
2026-01-06 12:50:00,135 MB,166 MB,3.11 TB,7.94 TB,534 GB,3.04 TB
2026-01-06 12:55:00,135 MB,167 MB,3.11 TB,7.95 TB,537 GB,3.04 TB
2026-01-06 13:00:00,135 MB,168 MB,3.11 TB,7.96 TB,539 GB,3.05 TB
2026-01-06 13:05:00,135 MB,169 MB,3.12 TB,7.97 TB,542 GB,3.05 TB
2026-01-06 13:10:00,135 MB,170 MB,3.12 TB,7.97 TB,544 GB,3.05 TB
2026-01-06 13:15:00,135 MB,171 MB,3.12 TB,7.98 TB,547 GB,3.05 TB
2026-01-06 13:20:00,136 MB,172 MB,3.12 TB,7.99 TB,549 GB,3.06 TB
2026-01-06 13:25:00,136 MB,173 MB,3.13 TB,8.00 TB,552 GB,3.06 TB
2026-01-06 13:30:00,136 MB,174 MB,3.13 TB,8.00 TB,555 GB,3.06 TB
2026-01-06 13:35:00,136 MB,174 MB,3.13 TB,8.01 TB,557 GB,3.06 TB
2026-01-06 13:40:00,136 MB,175 MB,3.13 TB,8.02 TB,560 GB,3.07 TB
2026-01-06 13:45:00,136 MB,176 MB,3.14 TB,8.03 TB,562 GB,3.07 TB
2026-01-06 13:50:00,136 MB,177 MB,3.14 TB,8.04 TB,565 GB,3.07 TB
2026-01-06 13:55:00,136 MB,178 MB,3.14 TB,8.04 TB,567 GB,3.07 TB
2026-01-06 14:00:00,137 MB,179 MB,3.14 TB,8.05 TB,570 GB,3.08 TB
2026-01-06 14:05:00,137 MB,180 MB,3.15 TB,8.06 TB,573 GB,3.08 TB
2026-01-06 14:10:00,137 MB,181 MB,3.15 TB,8.07 TB,575 GB,3.08 TB
